X,Y,OBJECTID,CRIMEID,CCN,REPORTDATE,ROUTEID,MEASURE,OFFSET,STREETSEGID,ROADWAYSEGID,FROMDATE,TODATE,MAR_ID,ADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,WARD,EVENTID,MAR_ADDRESS,MAR_SCORE,MAJORINJURIES_BICYCLIST,MINORINJURIES_BICYCLIST,UNKNOWNINJURIES_BICYCLIST,FATAL_BICYCLIST,MAJORINJURIES_DRIVER,MINORINJURIES_DRIVER,UNKNOWNINJURIES_DRIVER,FATAL_DRIVER,MAJORINJURIES_PEDESTRIAN,MINORINJURIES_PEDESTRIAN,UNKNOWNINJURIES_PEDESTRIAN,FATAL_PEDESTRIAN,TOTAL_VEHICLES,TOTAL_BICYCLES,TOTAL_PEDESTRIANS,PEDESTRIANSIMPAIRED,BICYCLISTSIMPAIRED,DRIVERSIMPAIRED,TOTAL_TAXIS,TOTAL_GOVERNMENT,SPEEDING_INVOLVED,NEARESTINTROUTEID,NEARESTINTSTREETNAME,OFFINTERSECTION,INTAPPROACHDIRECTION,LOCATIONERROR,LASTUPDATEDATE,MPDLATITUDE,MPDLONGITUDE,MPDGEOX,MPDGEOY,FATALPASSENGER,MAJORINJURIESPASSENGER,MINORINJURIESPASSENGER,UNKNOWNINJURIESPASSENGER
-77.0296348221942,38.9002597088411,110336722,27474739,17185778,2017/10/26 19:55:44+00,11001302,529.48,0.21,7121,5568,2017/10/26 04:00:00+00,,278991,NEW YORK AVE NW & 13TH ST NW,38.900252,-77.029633,397429.567,136933.647,Ward 2,{BD2D9A13-1161-4CF9-8B60-2A07B1C71E87},1235 NEW YORK AVENUE NW,200,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11064672,NEW YORK AVE NW,3.97,North,,,38.900252,-77.029635,,,0,0,0,0
-77.0319540279924,38.9186875597308,110336767,27482639,17190850,2017/11/03 16:22:12+00,11001402,3158.88,34.8,-9,23979,2017/11/03 04:00:00+00,,243001,2114 14TH STREET NW,38.918681,-77.032591,397173.671,138979.485,Ward 1,{1B53CB1D-E9AE-4EEE-BC62-537CF9B42899},2114 14TH STREET NW,200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11090152,W ST NW,56.07,South,,,38.91868,-77.032353,397194.29,138979.35,0,0,0,0
-77.0686944818993,38.9049199775967,110336811,27490636,17195032,2017/11/11 17:35:47+00,11097832,0,1.93,6054,7808,2017/11/10 05:00:00+00,,274568,"FRANCIS SCOTT KEY BRIDGE NW & M STREET NW
W",38.904912,-77.068692,394041.775,137452.803,Ward 2,{C0B7E013-0249-4BED-A123-283512563196},3429 M STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11057852,M ST NW,19.01,South,,,38.904907,-77.068671,,,0,0,0,0
-77.0395447969574,38.9126146731692,110336907,27466867,17180914,2017/10/19 00:52:19+00,11074162,2742.14,26.21,-9,29836,2017/10/18 04:00:00+00,,238093,1727 R STREET NW,38.912842,-77.039407,396582.277,138331.604,Ward 2,{A39B336A-452B-42AE-BDBD-8055594F758E},1727 R STREET NW,200,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,11064222,NEW HAMPSHIRE AVE NW,96.91,East,,2020/06/11 14:39:44+00,38.912843,-77.039539,396570.84,138331.63,0,0,0,0
-77.0058901863058,38.9074441217572,110336940,27472058,17184297,2017/10/24 03:55:17+00,12000102,1861.47,10.42,5733,6280,2017/10/23 04:00:00+00,,68964,1300 1ST STREET NE,38.907556,-77.005888,399489.267,137744.009,Ward 6,{3B0C65D4-86F4-470D-B0B3-950915C5B89A},1300 1ST STREET NE,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12063182,N ST NE,22.29,North,,,38.907436,-77.006008,399464.06,137743.92,0,0,0,0
-77.02230094441,38.9121903499601,110337069,27500514,17201360,2017/11/21 13:18:52+00,11075462,1223.47,2.24,10411,7972,2017/11/21 05:00:00+00,,308201,700 BLOCK RHODE ISLAND AVE NW,38.912183,-77.022299,398066.046,138257.895,Ward 2,{05A448CD-A53E-491E-9854-49EFE8B5FBBC},1630 7TH STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11000702,7TH ST NW,35.99,Southwest,,,38.912201,-77.022309,,,0,0,0,0
-77.0371500446255,38.9278594505394,110337114,27512571,17208040,2017/12/03 11:08:07+00,11045822,12.4,35.71,-9,28500,2017/12/02 05:00:00+00,,236341,1600 HOBART STREET NW,38.927715,-77.036946,396796.372,139982.533,Ward 1,{C26CA32E-0251-4D4C-8933-90B6313A20AB},1600 HOBART STREET NW,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11062532,MOUNT PLEASANT ST NW,12.39,West,,2020/12/12 15:40:27+00,38.92753,-77.037143,396780.22,139977.57,0,0,0,0
-76.9336264000754,38.882281713049,110337120,27512639,17208554,2017/12/03 16:00:46+00,13015342,904,0.01,9318,9682,2017/12/03 05:00:00+00,,278524,BENNING ROAD SE & F STREET SE,38.882274,-76.933624,405759.146,134939.636,Ward 7,{11B698EE-D8BB-4912-AC2C-9FA956571916},4736 BENNING ROAD SE,200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13034382,F ST SE,0.07,Northwest,,,38.882274,-76.933624,405759.17,134939.6,0,0,0,0
-77.0487561428991,38.9114541610054,110337121,27512641,17208539,2017/12/03 16:09:56+00,11002202,1822.91,4.21,8675,9223,2017/12/03 05:00:00+00,,310400,"EB MASS AVE NW & 22ND ST NW
W",38.911446,-77.048754,395771.597,138177.042,Ward 2,{40CAE262-1EE1-492C-B084-415F47EA5B7F},,200,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11036722,FLORIDA AVE NW,6.8,South,67e79959371b329e6ebafa7d0f42c6cd Blockkey ERROR. 67e79959371b329e6ebafa7d0f42c6cd Blockkey ERROR.  N,,38.911429,-77.048797,,,0,0,0,0
-77.025986296507,38.8973805498938,110337127,27466941,17180967,2017/10/19 03:11:18+00,11001002,584.26,35.74,12809,12945,2017/10/18 04:00:00+00,,307568,975 F STREET NW,38.897346,-77.025572,397781.692,136610.93,Ward 2,{480A4F1E-799F-40B4-8312-FE79F72C139E},933 F STREET NW,200,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11034382,F ST NW,3.18,North,,,38.897377,-77.025572,397782.03,136642.92,0,0,0,0
